player_name,nationality,position,team,league,age,birth_year_str,matches_played,starts,minutes_played,ninety_minutes,goals,assists,goal_contributions,goals_non_penalty,penalties_scored,penalties_attempted,yellow_cards,red_cards,xg_total,npxg_total,xa_total,npxg_xa_total,progressive_carries,progressive_passes,progressive_receptions,season,goals_per_90,assists_per_90,xG_per_90,xA_per_90,npxG_per_90,birth_year,valuation_year,player_id,market_value_in_eur,date,market_value_millions,team_avg_age,team_goals,team_minutes,squad_size,team_xg,team_xa,team_goals_per_player,goal_share_pct,is_team_top_scorer,minutes_share_pct,is_regular_starter,league_clean,league_multiplier,age_value_multiplier,position_group,position_multiplier,season_year,market_inflation_factor,finishing_efficiency,playmaking_efficiency,xg_overperformance,minutes_per_match,starting_rate,xg_xa_per_90,fifa_overall,fifa_potential,fifa_potential_gap,fifa_matched,is_wonderkid,high_potential_youth,youth_potential_premium,elite_rating
Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22.0,1998.0,23,12,1237,13.7,0.22,0.07,0.29,0.22,0.0,0.0,0.15,0.07,0.19,0.19,0.07,0.26,2.99,3.36,4.09,2021-22,0.016,0.005,0.014,0.005,0.014,1998.0,2021,587458.0,3300000.0,2021-12-28,3.3,23.066666666666663,2.33,37524,30,2.42,1.8,0.0776666666666666,9.442060085836909,0,3.2965568702696944,0,Other,0.75,0.95,MID,1.05,2021,0.92,1.1578947368421053,1.0,0.03,53.78260869565217,0.5217391304347826,0.019,76.0,79.0,0.0,False,0,0,1.0,0
Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25.0,1996.0,31,31,2735,30.4,0.07,0.07,0.13,0.07,0.0,0.0,0.1,0.03,0.07,0.07,0.01,0.08,0.36,3.32,0.03,2021-22,0.002,0.002,0.002,0.0,0.002,1996.0,2021,361914.0,9000000.0,2021-12-16,9.0,23.26923076923077,3.66,37122,26,4.58,4.34,0.1407692307692307,1.912568306010929,0,7.367598728516782,0,Other,0.75,1.0,DEF,0.9,2021,0.92,1.0,3.0,0.0,88.2258064516129,1.0,0.002,76.0,79.0,0.0,False,0,0,1.0,0
Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33.0,1988.0,4,2,151,1.7,0.59,0.0,0.59,0.59,0.0,0.0,0.0,0.0,0.59,0.59,0.06,0.65,2.35,1.76,7.65,2021-22,0.347,0.0,0.347,0.035,0.347,1988.0,2021,26399.0,15000000.0,2021-10-13,15.0,25.09090909090909,6.5600000000000005,34814,33,5.5,3.54,0.1987878787878788,8.993902439024389,0,0.4337335554661917,0,Other,0.75,0.5,ATT,1.25,2021,0.92,1.0,0.0,0.0,37.75,0.5,0.382,76.0,79.0,0.0,False,0,0,1.0,0
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28.0,1993.0,28,22,2140,23.8,0.0,0.08,0.08,0.0,0.0,0.0,0.17,0.0,0.01,0.01,0.04,0.05,2.56,6.6,4.24,2021-22,0.0,0.003,0.0,0.002,0.0,1993.0,2021,203746.0,10000000.0,2021-12-16,10.0,23.16,2.94,34878,25,3.38,2.59,0.1176,0.0,0,6.135672917025059,0,Other,0.75,1.0,DEF,0.9,2021,0.92,0.0,2.0,-0.01,76.42857142857143,0.7857142857142857,0.002,76.0,79.0,0.0,False,0,0,1.0,0
Naouirou Ahamada,fr FRA,MFDF,Stuttgart,de Bundesliga,19.0,2002.0,3,0,61,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,1.43,2021-22,0.0,0.0,0.0,0.0,0.0,2002.0,2021,538971.0,1800000.0,2021-12-22,1.8,23.133333333333333,2.9,33142,30,3.43,3.11,0.0966666666666666,0.0,0,0.1840564842194194,0,Other,0.75,0.8,DEF,0.9,2021,0.92,0.0,0.0,0.0,20.33333333333333,0.0,0.0,76.0,79.0,0.0,False,0,0,1.0,0
Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22.0,1999.0,15,15,1350,15.0,0.0,0.07,0.07,0.0,0.0,0.0,0.4,0.0,0.03,0.03,0.06,0.09,1.2,4.2,0.8,2021-22,0.0,0.005,0.002,0.004,0.002,1999.0,2021,377468.0,7000000.0,2021-12-17,7.0,25.11764705882353,3.5,34176,34,3.73,3.66,0.1029411764705882,0.0,0,3.9501404494382015,0,Other,0.75,0.95,DEF,0.9,2021,0.92,0.0,1.1666666666666667,-0.03,90.0,1.0,0.006,76.0,79.0,0.0,False,0,0,1.0,0
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27.0,1994.0,25,11,1004,11.2,0.09,0.09,0.18,0.09,0.0,0.0,0.18,0.0,0.17,0.17,0.07,0.24,1.43,3.39,3.48,2021-22,0.008,0.008,0.015,0.006,0.015,1994.0,2021,178313.0,3500000.0,2021-12-16,3.5,26.571428571428573,2.34,36903,21,2.28,1.61,0.1114285714285714,3.8461538461538463,0,2.720646017938921,0,Other,0.75,1.0,MID,1.05,2021,0.92,0.5294117647058822,1.2857142857142856,-0.08,40.16,0.44,0.0209999999999999,76.0,79.0,0.0,False,0,0,1.0,0
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25.0,1995.0,32,30,2637,29.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.01,0.01,0.02,0.85,3.75,0.1,2021-22,0.0,0.0,0.0,0.0,0.0,1995.0,2021,358250.0,5000000.0,2021-12-30,5.0,26.90909090909091,1.61,37566,22,2.37,1.26,0.0731818181818181,0.0,0,7.019645424053665,0,Other,0.75,1.0,DEF,0.9,2021,0.92,0.0,0.0,-0.01,82.40625,0.9375,0.0,76.0,79.0,0.0,False,0,0,1.0,0
Ola Aina,ng NGA,DF,Torino,it Serie A,24.0,1996.0,21,17,1437,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.01,0.11,0.13,2.63,4.25,4.88,2021-22,0.0,0.0,0.001,0.007,0.001,1996.0,2021,236490.0,5500000.0,2021-12-28,5.5,25.133333333333333,4.29,34656,30,4.38,2.12,0.143,0.0,0,4.146468144044321,0,Other,0.75,1.0,DEF,0.9,2021,0.92,0.0,0.0,-0.01,68.42857142857143,0.8095238095238095,0.008,76.0,79.0,0.0,False,0,0,1.0,0
Rayan Aït Nouri,dz ALG,DFMF,Wolves,eng Premier League,20.0,2001.0,23,20,1828,20.3,0.05,0.1,0.15,0.05,0.0,0.0,0.2,0.0,0.03,0.03,0.08,0.11,2.96,2.41,6.26,2021-22,0.002,0.005,0.001,0.004,0.001,2001.0,2021,578391.0,15000000.0,2021-12-23,15.0,25.36842105263158,1.12,28851,19,2.88,1.52,0.0589473684210526,4.464285714285714,0,6.336002218293993,0,Other,0.75,0.8,DEF,0.9,2021,0.92,1.6666666666666667,1.25,0.02,79.47826086956522,0.8695652173913043,0.005,76.0,79.0,0.0,False,0,0,1.0,0
